"filename", "language", "JSON", "Markdown", "JavaScript", "TypeScript", "HTML", "Vue", "comment", "blank", "total"
"d:\WebProjects\trading\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\WebProjects\trading\client\tsconfig.json", "JSON", 9, 0, 0, 0, 0, 0, 0, 0, 9
"d:\WebProjects\trading\client\types\vue.d.ts", "TypeScript", 0, 0, 0, 4, 0, 0, 0, 0, 4
"d:\WebProjects\trading\client\user\App.vue", "Vue", 0, 0, 0, 0, 0, 54, 0, 3, 57
"d:\WebProjects\trading\client\user\components\base\Address.vue", "Vue", 0, 0, 0, 0, 0, 127, 6, 4, 137
"d:\WebProjects\trading\client\user\components\base\Goods.vue", "Vue", 0, 0, 0, 0, 0, 49, 0, 3, 52
"d:\WebProjects\trading\client\user\components\base\Header.vue", "Vue", 0, 0, 0, 0, 0, 52, 0, 3, 55
"d:\WebProjects\trading\client\user\components\childrenPages\AddressManage.vue", "Vue", 0, 0, 0, 0, 0, 64, 0, 2, 66
"d:\WebProjects\trading\client\user\components\childrenPages\FeedbackManage.vue", "Vue", 0, 0, 0, 0, 0, 63, 0, 2, 65
"d:\WebProjects\trading\client\user\components\childrenPages\InfoManage.vue", "Vue", 0, 0, 0, 0, 0, 90, 0, 2, 92
"d:\WebProjects\trading\client\user\components\childrenPages\OrderManage.vue", "Vue", 0, 0, 0, 0, 0, 78, 1, 2, 81
"d:\WebProjects\trading\client\user\components\childrenPages\PublisherOrder.vue", "Vue", 0, 0, 0, 0, 0, 69, 0, 2, 71
"d:\WebProjects\trading\client\user\components\pages\Cart.vue", "Vue", 0, 0, 0, 0, 0, 306, 5, 3, 314
"d:\WebProjects\trading\client\user\components\pages\GoodsDetail.vue", "Vue", 0, 0, 0, 0, 0, 165, 3, 2, 170
"d:\WebProjects\trading\client\user\components\pages\Home.vue", "Vue", 0, 0, 0, 0, 0, 165, 0, 3, 168
"d:\WebProjects\trading\client\user\components\pages\Login.vue", "Vue", 0, 0, 0, 0, 0, 96, 1, 2, 99
"d:\WebProjects\trading\client\user\components\pages\Order.vue", "Vue", 0, 0, 0, 0, 0, 269, 7, 5, 281
"d:\WebProjects\trading\client\user\components\pages\Publish.vue", "Vue", 0, 0, 0, 0, 0, 201, 8, 3, 212
"d:\WebProjects\trading\client\user\components\pages\Recommend.vue", "Vue", 0, 0, 0, 0, 0, 72, 0, 3, 75
"d:\WebProjects\trading\client\user\components\pages\Register.vue", "Vue", 0, 0, 0, 0, 0, 116, 1, 2, 119
"d:\WebProjects\trading\client\user\components\pages\UserCenter.vue", "Vue", 0, 0, 0, 0, 0, 116, 0, 3, 119
